Code,CodeDescription,chap,HistoricalNotes,Notes,active,CodingPrinciples
1485T,Oncotype DX test,34.1.1,,,True,
1486B,Oestradiol level,34.1.1,,,True,
1486L,Oestradiol level,34.1.0,,,True,
1486T,Breast caner prognostic gene signature assay,34.1.1,New code added in June 2016,,True,
1487B,Oestriol level,34.1.1,,,True,
1487U,Oestriol level,34.1.1,,,True,
1491B,Olanzapine level,34.1.1,,,True,
1497U ,Hippuric acid level,34.1.1,,,True,5914U
1498B,Human immunodeficiency virus 1 immunoglobulin G antibody avidity,34.4.0,,,True,
1502B,Influenza A ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1502C,Influenza A ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1502O,Influenza A ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1502T,Influenza A ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1503B,Influenza B ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1503C,Influenza B ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1503O,Influenza B ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1503T,Influenza B ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1504B,Coagulation factor VIII (F8) gene intron 22 inversion screen,34.2.0,,,True,
1506B,Pancreastatin level,34.1.1,,,True,
1511B,Pancreozymin level,34.1.1,,,True,
1514B,Paracetamol level,34.1.1,,,True,
1514U,Paracetamol level,34.1.1,,,True,
1517O,Parainfluenza virus type 1 ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1517T,Parainfluenza virus type 1 ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1518O,Parainfluenza virus type 2 ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1518T,Parainfluenza virus type 2 ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
1520B,Parainfluenza virus type 2 immunoglobulin G antibody,34.4.0,,,True,
1521B,Parainfluenza virus type 3 immunoglobulin G antibody,34.4.0,,,True,
1522B,"Parainfluenza virus type 1, 2 and 3 immunoglobulin G antibody",34.4.0,,,True,
1523O,"Parainfluenza virus type 1,2 and 3 antigen",34.4.0,,,True,
1523T,"Parainfluenza virus type 1,2 and 3 antigen",34.4.0,,,True,
1526B,Gamma glutamyl transferase activity,34.1.1,,,True,8061B
1534B,Globulin level,34.1.1,,,True,"8061B, 8078B"
1534C,Globulin level,34.1.1,,,True,
1534O,Globulin level,34.1.1,,,True,
1535B,Glomerular basement membrane immunoglobulin G antibody,34.3.0,,,True,
1536B,Glucagon level,34.1.1,,,True,8041B
1542B,Haemoglobin A1c level,34.1.1,,,True,
1547B,Haemoglobin C level,34.2.0,,,True,
1549B,Haemoglobin D level,34.2.0,,,True,
1550B,Haemoglobin E level,34.2.0,,,True,
1552B,Haemoglobin F level,34.2.0,,,True,
1553B,Haemoglobin G level,34.2.0,,,True,
1554B,Haemoglobin H inclusion body screen,34.2.0,,,True,
1555B,Haemoglobin J level,34.2.0,,,True,
1556B,Haemoglobin Lepore level,34.2.0,,,True,
1573B,Midazolam level,34.1.1,,,True,
1573U,Midazolam level,34.1.1,,,True,
1578B,Glutathione peroxidase activity,34.1.1,,,True,
1580B,Plasminogen antigen level,34.2.0,,,True,
1583B,Aspartate level,34.1.1,,,True,"1584B, 8061B"
1583C,Aspartate level,34.1.1,,,True,
1583U,Aspartate level,34.1.1,,,True,1584U
1584B,Amino acids screen,34.1.1,,,True,"0087B, 0299B, 0554B, 0791B, 0824B, 0868B, 1191B, 1583B, 1658B, 1746B, 1823B, 1954B, 2470B, 2551B, 2553B, 2837B, 3089B, 3118B, 3131B, 3330B, 3923B, 4327B, 4444B, 5737B, 5738B, 8002B, 8040B"
1584U,Amino acids screen,34.1.1,,,True,"0087U, 0299U, 0554U, 0791U, 0824U, 0868U, 1191U, 1583U, 1658U, 1746U, 1823U, 1942U, 1954U, 2470U, 2551U, 2553U, 2837U, 3089U, 3118U, 3131U, 3140U, 3330U, 3923U, 4327U, 4444U, 5737U, 5738U"
1591B,Caeruloplasmin level,34.1.1,,,True,
1592B,Caffeine level,34.1.1,,,True,
1592L,Caffeine level,34.1.1,,,True,
1593B,Calcitonin level,34.1.1,,,True,
1594B,Myocardial immunoglobulin G antibody,34.3.0,,,True,
1596B,Myoglobin level,34.1.1,,,True,
1596U,Myoglobin level,34.1.1,,,True,
1611B,N-desmethyldiazepam level,34.1.1,,,True,
1611U,N-desmethyldiazepam level,34.1.1,,,True,
1613B,Beta-2 microglobulin level,34.1.1,,,True,
1613U,Beta-2 microglobulin level,34.1.1,,,True,
1618B,Bactericidal permeability increasing protein immunoglobulin G antibody,34.3.0,,,True,
1620B,Barbiturate level,34.1.1,,,True,
1620O,Barbiturate level,34.1.1,,,True,
1620U,Barbiturate level,34.1.1,,,True,
1625B,Bartonella quintana immunoglobulin G antibody,34.4.0,,,True,
1626B,Bartonella henselae immunoglobulin G antibody,34.4.0,,,True,
1627B,Ganglia immunoglobulin G antibody,34.3.0,,,True,
1638B,T-cell receptor genotype,34.3.0,,,True,
1648B,Reverse T3 level,34.1.1,,,True,
1650B,Procollagen 1 amino-terminal propeptide,34.1.1,,,True,
1651B,Procollagen 3 amino terminal peptide level,34.1.1,,,True,
1654B,Progesterone level,34.1.1,,,True,
1655B,Proinsulin level,34.1.1,,,True,
1658B,Proline level,34.1.1,,,True,1584B
1658C,Proline level,34.1.1,,,True,
1658U,Proline level,34.1.1,,,True,1584U
1661B,Keratin immunoglobulin G antibody,34.3.0,,,True,
1662B,Ketamine level,34.1.1,,,True,
1662H,Ketamine level,34.1.1,,,True,
1662U,Ketamine level,34.1.1,,,True,
1667B,Ketones level,34.1.1,,,True,
1667U,Ketones level,34.1.1,,,True,
1677B,Lactate dehydrogenase isoenzymes level,34.1.1,,,True,
1678B,Insulin immunoglobulin G antibody,34.3.0,,,True,
1679B,Intercellular cement immunoglobulin G antibody,34.3.0,,,True,
1680B,International normalised ratio,34.2.0,,,True,
1682B,Intrinsic factor immunoglobulin G antibody,34.3.0,,,True,
1690B,Islet cell immunoglobulin G antibody,34.3.0,,,True,
1698B,Toxicology screen,34.1.1,,,True,
1698H,Toxicology screen,34.1.1,,,True,
1698L,Toxicology screen,34.1.1,,,True,
1698O,Toxicology screen,34.1.1,,,True,
1698U,Toxicology screen,34.1.1,,,True,
1707B,TR immunoglobulin G antibody,34.3.0,,,True,
1746B,Leucine level,34.1.1,,,True,1584B
1746C,Leucine level,34.1.1,,,True,
1746D,Leucine level,34.1.1,,,True,
1746U,Leucine level,34.1.1,,,True,1584U
1752B,Levetiracetam level,34.1.1,,,True,
1760B,Complement 1q immunoglobulin G antibody,34.3.0,,,True,
1769B,Cyclic Citrinullated peptide immunoglobulin G antibody,34.3.0,,,True,
1774B,Fluoride level,34.1.1,,,True,
1774U,Fluoride level,34.1.1,,,True,
1776B,Fluoxetine level,34.1.1,,,True,
1776U,Fluoxetine level,34.1.1,,,True,
1787B,Cytoplasmic immunoglobulin M count,34.3.0,,,True,
1787M,Cytoplasmic immunoglobulin M count,34.3.0,,,True,
1788B,C-peptide level,34.1.1,,,True,
1788U,C-peptide level - Urine,34.0.0,New code added in June 2024,,True,
1789B,C-reactive protein level,34.1.1,,,True,
1790B,Candida albicans specific immunoglobulin E antibody,34.3.0,,,True,
1796B,Complement 1q binding immune complexes,34.3.0,,,True,
1798B,Complement 1s level,34.3.0,,,True,
1807B,Adenosine deaminase activity,34.1.1,,,True,
1807C,Adenosine deaminase activity,34.1.1,,,True,
1807O,Adenosine deaminase activity,34.1.1,,,True,
1808B,Carbohydrate antigen 15-3 level,34.1.1,,,True,
1808C,Carbohydrate antigen 15-3 level,34.1.1,,,True,
1808O,Carbohydrate antigen 15-3 level,34.1.1,,,True,
1812B,Hexosaminidase A activity,34.1.1,,,True,
1812S,Hexosaminidase A activity,34.1.1,,,True,
1821B,High molecular weight kininogen level,34.2.0,,,True,
1823B,Histidine level,34.1.1,,,True,1584B
1823C,Histidine level,34.1.1,,,True,
1823U,Histidine level,34.1.1,,,True,1584U
1825B,Complement factor H,34.3.0,,,True,
1826B,Complement factor I,34.3.0,,,True,
1839B,Copper level,34.1.1,,,True,
1839H,Copper level,34.1.1,,,True,
1839T,Copper level,34.1.1,,,True,
1839U,Copper level,34.1.1,,,True,
1845B,Coxsackie B virus immunoglobulin M antibody,34.4.0,,,True,
1852B,Creatine kinase activity,34.1.1,,,True,1003B
1853B,Creatine level,34.1.1,,,True,
1853U,Creatine level,34.1.1,,,True,
1863B,Ribonucleoprotein immunoglobulin G antibody,34.3.0,,,True,
1869B,Urobilin level,34.1.1,,,True,
1869U,Urobilin level,34.1.1,,,True,
1870B,Urobilinogen level,34.1.1,,,True,
1870F,Urobilinogen level,34.1.1,,,True,
1870U,Urobilinogen level,34.1.1,,,True,
1891B,Clobazam level,34.1.1,,,True,
1891U,Clobazam level,34.1.1,,,True,
1892B,Clomipramine level,34.1.1,,,True,
1893B,Clonazepam level,34.1.1,,,True,
1893U,Clonazepam level,34.1.1,,,True,
1905B,Cytomegalovirus immunoglobulin G antibody avidity,34.4.0,,,True,
1909B,Cytoplasmic cluster of differentiation 79a count,34.3.0,,,True,
1909M,Cytoplasmic cluster of differentiation 79a count,34.3.0,,,True,
1912B,Cytoplasmic myeloperoxidase positive cell count,34.3.0,,,True,
1912M,Cytoplasmic myeloperoxidase positive cell count,34.3.0,,,True,
1926B,Lupus anticoagulant screen,34.2.0,,,True,
1942B,Lysine level,34.1.1,,,True,
1942C,Lysine level,34.1.1,,,True,
1942U,Lysine level,34.1.1,,,True,1584U
1944B,Alpha-N-acetylglucosaminidase activity,34.1.1,,,True,
1944S,Alpha-N-acetylglucosaminidase activity,34.1.1,,,True,
1949B,Phencyclidine level,34.1.1,,,True,
1949U,Phencyclidine level,34.1.1,,,True,
1950B,Phenobarbital level,34.1.1,,,True,
1951B,Phenolphthalein level,34.1.1,,,True,
1951F,Phenolphthalein level,34.1.1,,,True,0264U
1951U,Phenolphthalein level,34.1.1,,,True,0264U
1952B,Phenothiazine level,34.1.1,,,True,
1952U,Phenothiazine level,34.1.1,,,True,
1953B,Phenothiazines screen,34.1.1,,,True,
1953U,Phenothiazines screen,34.1.1,,,True,
1954B,Phenylalanine level,34.1.1,,,True,1584B
1954C,Phenylalanine level,34.1.1,,,True,
1954D,Phenylalanine level,34.1.1,,,True,
1954U,Phenylalanine level,34.1.1,,,True,1584U
1956B,Phenytoin level,34.1.1,,,True,
1977B,Galactosyl transferase activity,34.1.1,,,True,
1979B,Cocaine level,34.1.1,,,True,
1979O,Cocaine level,34.1.1,,,True,
1979U,Cocaine level,34.1.1,,,True,
1991B,Hepatitis E virus immunoglobulin G antibody,34.4.0,,,True,
1995B,Direct antiglobulin test (DAT),34.2.0,,,True,
1998B,Platelet immunoglobulin G antibody,34.3.0,,,True,
2001B,Disopyramide level,34.1.1,,,True,
20110,ECG (including reporting),31.0.0,,,True,"20130, 20140, CD015"
20130,Exercise ECG (including base line 12 lead ECG and reporting),31.0.0,,,True,20110
20140,24 hour ECG Holter (including reporting),31.0.0,,,True,"20110, 20141"
20141,Continuous ambulatory ECG for up to 72 hours (including reporting),31.0.0,Narrative change from Long term ambulatory ECG monitoring (event recording) (including reporting) to be inline with the SoP,,True,20140
20144,Continuous ambulatory ECG for over 72 hours and up to 7 days (including reporting),31.0.0,New code added in June 2016,,True,
20160,Phototesting,35.0.0,,,True,
2019B,Myeloperoxidase immunoglobulin G antibody,34.3.0,,,True,
20210,Pure tone audiogram (air conduction) - including masking,30.0.0,,,True,"AU001, AU002, AU007"
20220,Pure tone audiogram (air and bone conduction) - including masking,30.0.0,,,True,"20210, AU001, AU007"
20230,Impedance audiogram,30.0.0,,,True,
2029B,Platelet function test,34.2.0,,,True,
2034B,Phosphoglucomutase activity,34.1.1,,,True,
20390,Initial neuropsychological assessment,35.0.0,New code added in November 2021?Narrative change from 'Neuropsychological Assessment' to 'Initial neuropsychological assessment' in December 2021,,True,
20395,Follow-up neuropsychological assessment,35.0.0,New code added in December 2021,,True,
2050B,Activated partial thromboplastin time inhibitor analysis,34.2.0,,,True,
2051B,Thrombophilia screen,34.2.0,,,True,
2055B,Arachidonic acid level,34.1.1,,,True,
2056B,Arbovirus immunoglobulin G antibody,34.4.0,,,True,
2056C,Arbovirus immunoglobulin G antibody,34.4.0,,,True,
2061B,Aetiocholanolone level,34.1.1,,,True,
2061U,Aetiocholanolone level,34.1.1,,,True,
2080B,Blood group and cross match,34.2.0,,,True,
2081B,Blood group and antibody screen,34.2.0,,,True,
2104B,Manganese level,34.1.1,,,True,
2104U,Manganese level,34.1.1,,,True,
2106B,Mannose-binding lectin level,34.1.1,,,True,
2123B,Temazepam level,34.1.1,,,True,
2123U,Temazepam level,34.1.1,,,True,
2134B,Tetradecenylcarnitine level,34.1.1,,,True,
2134C,Tetradecenylcarnitine level,34.1.1,,,True,
2134D,Tetradecenylcarnitine level,34.1.1,,,True,
2136B,Cluster of differentiation 41a count,34.3.0,,,True,
2136M,Cluster of differentiation 41a count,34.3.0,,,True,
2137B,Cluster of differentiation 42b count,34.3.0,,,True,
2137M,Cluster of differentiation 42b count,34.3.0,,,True,
2138B,Cytoplasmic cluster of differentiation 42b count,34.3.0,,,True,
2138M,Cytoplasmic cluster of differentiation 42b count,34.3.0,,,True,
2139B,Cluster of differentiation 45 count,34.3.0,,,True,
2139M,Cluster of differentiation 45 count,34.3.0,,,True,
2140B,Cytoplasmic cluster of differentiation 45 count,34.3.0,,,True,
2140M,Cytoplasmic cluster of differentiation 45 count,34.3.0,,,True,
2142B,Cluster of differentiation 45RA count,34.3.0,,,True,
2142M,Cluster of differentiation 45RA count,34.3.0,,,True,
2143B,Cluster of differentiation 45RO count,34.3.0,,,True,
2143M,Cluster of differentiation 45RO count,34.3.0,,,True,
2148B,Cluster of differentiation 55 count,34.3.0,,,True,
2148M,Cluster of differentiation 55 count,34.3.0,,,True,
2149B,Cluster of differentiation 56 count,34.3.0,,,True,
2149M,Cluster of differentiation 56 count,34.3.0,,,True,
2152B,Cluster of differentiation 59 count,34.3.0,,,True,
2152M,Cluster of differentiation 59 count,34.3.0,,,True,
2154B,Cluster of differentiation 61 count,34.3.0,,,True,
2154M,Cluster of differentiation 61 count,34.3.0,,,True,
2155B,Cytoplasmic cluster of differentiation 61,34.3.0,,,True,
2155M,Cytoplasmic cluster of differentiation 62,34.3.0,,,True,
2166B,Von Willebrand inhibitor level,34.2.0,,,True,
2167B,Coagulation factor XI (F11) inhibitor level,34.2.0,,,True,
2185B,Red blood cell glucose 6 phosphate dehydrogenase activity,34.2.0,,,True,
2186B,Gabapentin level,34.1.1,,,True,
2188B,Galactose-1-phosphate uridyl transferase activity,34.1.1,,,True,
2188S,Galactose-1-phosphate uridyl transferase activity,34.1.1,,,True,
2190B,Galactitol level,34.1.1,,,True,
2190U,Galactitol level,34.1.1,,,True,
2191B,Galactocerebrosidase activity,34.1.1,,,True,
2191S,Galactocerebrosidase activity,34.1.1,,,True,
2194B,Galactokinase activity,34.1.1,,,True,
2194S,Galactokinase activity,34.1.1,,,True,
2199B,4-aminobutyrate level,34.1.1,,,True,
2199U,4-aminobutyrate level,34.1.1,,,True,
22000,Routine electroencephalography (EEG) in adult or child aged over 5 (including reporting),35.0.0,,,True,
22002,Routine electroencephalography (EEG) in child under 5 (including reporting),35.0.0,,,True,22000
22003,Sleep Electroencephalography (EEG),35.0.0,Code inactivated in April 2024,,False,
22005,24 hour video telemetry electroencephalography (EEG) (inclduing reporting),30.0.0,,,True,"22003, 22004"
22011,Recording and reporting on evoked potential study,30.0.0,,,True,
22011,Recording and reporting on evoked potential study,32.2.0,,,True,
22021,Anorectal physiology performed by consultant (including reporting),35.0.0,,,True,
22022,Recording and reporting on electromyography and nerve conduction studies (EMG); CTS (Bilateral upper limb only) or peripheral neuropathy,35.0.0,,,True,
22023,"Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuropathy (e.g. ulnar), Cx/Lumbar radiculopathy, Myopathy",35.0.0,,,True,"22021, 22022"
22024,"Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuritis Multiplex, MND - AHC, Multiple Muscle Monitoring (e.g. Torticollis), Myaesthenia Gravis (-SFEMG)",32.0.0,"Narrative change from 'Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuritis Multiplex, MND - AHC, Multiple Muscle Monitoring (e.g. Torticollis), Myaesthenia Gravis (-SFEMG)' to 'Recording and reporting on electromyography and nerve conduction studies (EMG); Mononeuritis Multiplex, MND - AHC, Multiple Muscle Monitoring (e.g. Torticollis), Myaesthenia Gravis (-SFEMG)' in October 2015",,True,"22021, 22022, 22022"
22025,Recording and reporting on electromyography and nerve conduction studies (EMG); Myaesthenia Gravis (+SFEMG),35.0.0,,,True,"22021, 22022, 22022, 22023"
22028,Inpatient sleep study (polysomnography) including reporting,35.0.0,Narrative change from 'Sleep study (polysomnography) including reporting' to 'Inpatient sleep study (polysomnography) including reporting' in October 2020,,True,22003
2223B,Chlorpromazine level,34.1.1,,,True,
2229B,Ecarin clotting time,34.2.0,,,True,
2232B,Glucose-6-phosphate dehydrogenase (G6PD) genotype screen,34.2.0,,,True,
2245B,Enterovirus immunoglobulin G antibody,34.4.0,,,True,
2245C,Enterovirus immunoglobulin G antibody,34.4.0,,,True,
2247B,Enterovirus immunoglobulin M antibody,34.4.0,,,True,
2247C,Enterovirus immunoglobulin M antibody,34.4.0,,,True,
2248B,Enterovirus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2248C,Enterovirus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2248O,Enterovirus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2248T,Enterovirus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2260B,Acute hepatitis screen,34.4.0,,,True,
2261B,Hepatitis B virus core antigen immunoglobulin G antibody,34.4.0,,,True,
2264B,Hepatitis B virus core antigen immunoglobulin M antibody,34.4.0,,,True,
2265B,Hepatitis B core antigen - total,34.3.0,,,True,2269B
2266B,Hepatitis B virus e antigen immunoglobulin G antibody,34.4.0,,,True,
2267B,Hepatitis B virus e antigen,34.4.0,,,True,
2268B,Hepatitis A immunoglobulin M antibody,34.4.0,,,True,
2269B,"Hepatitis B profile (Hep B surface Ag, Hep B virus surface Ag, Hep B virus surface Ag immunoglobulin G antibody, Hep B Immunity, Hep B Core (Total))",34.4.0,"Narrative change from 'Hepatitis B profile (Hep B surface Ag, Hep B Immunity, Hep B Core (Total))' to 'Hepatitis B profile (Hep B surface Ag, Hep B virus surface Ag, Hep B virus surface Ag immunoglobulin G antibody, Hep B Immunity, Hep B Core (Total))' in February 2023",,True,"2265B, 2274B, 3319B, 7160B"
2274B,Hepatitis B virus surface antigen immunoglobulin G antibody,34.4.0,,,True,2269B
2275B,Hepatitis D virus,34.4.0,,,True,
2281B,Flavivirus immunoglobulin M antibody,34.4.0,,,True,
2281C,Flavivirus immunoglobulin M antibody,34.4.0,,,True,
2286B,Enterovirus genotyping by ribonucleic acid (RNA) analysis,34.4.0,,,True,
2286C,Enterovirus genotyping by ribonucleic acid (RNA) analysis,34.4.0,,,True,
2286O,Enterovirus genotyping by ribonucleic acid (RNA) analysis,34.4.0,,,True,
2286T,Enterovirus genotyping by ribonucleic acid (RNA) analysis,34.4.0,,,True,
2290B,Phosphorylase b kinase activity,34.1.1,,,True,
2290T,Phosphorylase b kinase activity,34.1.1,,,True,
2291B,Glycogen level,34.1.1,,,True,
2291T,Glycogen level,34.1.1,,,True,
2300B,Alphavirus immunoglobulin G antibody,34.4.0,,,True,
2303B,Aluminium level,34.1.1,,,True,
2303O,Aluminium level,34.1.1,,,True,
2303U,Aluminium level,34.1.1,,,True,
2309B,Cadmium level,34.1.1,,,True,
2309U,Cadmium level,34.1.1,,,True,
2317B,Ethanol level,34.1.1,,,True,
2317O,Ethanol level,34.1.1,,,True,
2317U,Ethanol level,34.1.1,,,True,
2318B,Osteocalcin level,34.1.1,,,True,
2327A,Oxalate level,34.1.1,,,True,
2327B,Oxalate level,34.1.1,,,True,
2327U,Oxalate level,34.1.1,,,True,5914U
2330B,Oxazepam level,34.1.1,,,True,
2330U,Oxazepam level,34.1.1,,,True,
2331B,Oxcarbazepine level,34.1.1,,,True,
2342B,Nortriptyline level,34.1.1,,,True,
2343B,Norclozapine level,34.1.1,,,True,
2354B,Immunoglobulin M immune complexes,34.3.0,,,True,
2375B,Cytoplasmic cluster of differentiation 10,34.3.0,,,True,
2375M,Cytoplasmic cluster of differentiation 11,34.3.0,,,True,
2377B,Cluster of differentiation 10 count,34.3.0,,,True,
2377M,Cluster of differentiation 10 count,34.3.0,,,True,
2378B,"Cluster of differentiation 10+, cluster of differentiation 19+ count",34.3.0,,,True,
2378M,"Cluster of differentiation 10+, cluster of differentiation 19+ count",34.3.0,,,True,
2379B,Cluster of differentiation 103 count,34.3.0,,,True,
2379M,Cluster of differentiation 103 count,34.3.0,,,True,
2380B,Cluster of differentiation 117 count,34.3.0,,,True,
2380M,Cluster of differentiation 117 count,34.3.0,,,True,
2386B,Sickle cell solubility test,34.2.0,,,True,
2389B,Silicon level,34.1.1,,,True,
2389U,Silicon level,34.1.1,,,True,
2391B,Silver level,34.1.1,,,True,
2391U,Silver level,34.1.1,,,True,
2394B,Sirolimus level,34.1.1,,,True,
2401B,Soluble transferrin receptor level,34.2.0,,,True,
2402B,Soluble liver antigen IgG antibody,34.3.0,,,True,
2403B,Solvent abuse screen,34.1.1,,,True,
2403U,Solvent abuse screen,34.1.1,,,True,
2405B,Sotalol level,34.1.1,,,True,
2448B,"Fructose-1,6-bisphosphatase activity",34.1.1,,,True,
2449B,Galactose-6-sulphatase activity,34.1.1,,,True,
2449S,Galactose-6-sulphatase activity,34.1.1,,,True,
2455U,Trimethylamine level,34.1.1,,,True,
2468B,Trypsin level,34.1.1,,,True,
2468F,Trypsin level,34.1.1,,,True,
2468O,Trypsin level,34.1.1,,,True,
2470B,Tryptophan level,34.1.1,,,True,1584B
2470C,Tryptophan level,34.1.1,,,True,
2470U,Tryptophan level,34.1.1,,,True,1584U
2505F,Rotavirus antigen,34.4.0,,,True,
2511B,Rubella virus immunoglobulin G antibody,34.4.0,,,True,
2511L,Rubella virus immunoglobulin G antibody,34.4.0,,,True,
2512B,Rubella virus immunoglobulin G antibody avidity,34.4.0,,,True,
2512L,Rubella virus immunoglobulin G antibody avidity,34.4.0,,,True,
2530B,West Nile virus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2530C,West Nile virus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2530O,West Nile virus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2530T,West Nile virus ribonucleic acid (RNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2546B,Benzodiazepine level,34.1.1,,,True,
2546H,Benzodiazepine level,34.1.1,,,True,
2546L,Benzodiazepine level,34.1.1,,,True,
2546O,Benzodiazepine level,34.1.1,,,True,
2546U,Benzodiazepine level,34.1.1,,,True,"2548U, 5914U"
2548B,Benzodiazepine screen,34.1.1,,,True,
2548H,Benzodiazepine screen,34.1.1,,,True,
2548L,Benzodiazepine screen,34.1.1,,,True,
2548O,Benzodiazepine screen,34.1.1,,,True,
2548U,Benzodiazepine screen,34.1.1,,,True,2546U
2551B,Beta-alanine level,34.1.1,,,True,1584B
2551C,Beta-alanine level,34.1.1,,,True,
2551U,Beta-alanine level,34.1.1,,,True,1584U
2553B,Beta-amino isobutyric acid level,34.1.1,,,True,1584B
2553C,Beta-amino isobutyric acid level,34.1.1,,,True,
2553U,Beta-amino isobutyric acid level,34.1.1,,,True,"1584U, 5914U"
2556B,Coagulation factor VIII (F8) inhibitor screen,34.2.0,,,True,4784B
2560B,Coagulation factor VIII (F8) level,34.2.0,,,True,
2564B,Von Willebrand antigen level,34.2.0,,,True,
2566B,Coagulation factor X (F10) level,34.2.0,,,True,
2567B,Coagulation factor XI (F11) level,34.2.0,,,True,
2569B,Coagulation factor XII (F12) level,34.2.0,,,True,
2571B,Coagulation factor XIII (F13) level,34.2.0,,,True,
2578B,Very long chain fatty acid level,34.1.1,Narrative change to Very long chain fatty acid level from C22 very long chain fatty acid level in October 2013,,True,
2581B,C29 dicarboxylic acid level,34.1.1,,,True,
2597B,Pemphigoid immunoglobulin G antibody,34.3.0,,,True,
2598B,Pemphigus immunoglobulin G antibody,34.3.0,,,True,
2606B,Mumps virus immunoglobulin M antibody,34.3.0,,,True,
2606C,Mumps virus immunoglobulin M antibody,34.3.0,,,True,
2606L,Mumps virus immunoglobulin M antibody,34.3.0,,,True,
2615B,Muscle specific tyrosine kinase immunoglobulin G antibody,34.3.0,,,True,
2630U,Porphobilinogen level,34.1.1,,,True,
2658B,Cholinesterase immunoglobulin G antibody,34.3.0,,,True,
2662B,Antidiuretic hormone (ADH) level,34.1.1,,,True,
2665B,Elastase immunoglobulin G antibody,34.3.0,,,True,
2666B,Enterocyte immunoglobulin G antibody,34.3.0,,,True,
2668B,Heparin Anti-Xa level,34.2.0,,,True,
2669B,Glutamic acid decarboxylase immunoglobulin G antibody,34.3.0,,,False,
2674B,Gliadin specific immunoglobulin G antibody,34.3.0,,,True,
2692B,Mercury level,34.1.1,,,True,
2692H,Mercury level,34.1.1,,,True,
2692T,Mercury level,34.1.1,,,True,
2692U,Mercury level,34.1.1,,,True,
2702B,Methadone level,34.1.1,,,True,
2702H,Methadone level,34.1.1,,,True,
2702L,Methadone level,34.1.1,,,True,
2702O,Methadone level,34.1.1,,,True,
2702U,Methadone level,34.1.1,,,True,
2703B,Methadone metabolite level,34.1.1,,,True,
2703H,Methadone metabolite level,34.1.1,,,True,
2703L,Methadone metabolite level,34.1.1,,,True,
2703O,Methadone metabolite level,34.1.1,,,True,
2703U,Methadone metabolite level,34.1.1,,,True,
2704B,Methaemalbumin level,34.1.1,,,True,
2705B,Methaemoglobin level,34.1.1,,,True,
2710B,Human leucocyte antigen B27,34.3.0,,,True,
2714B,Human papilloma virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2714O,Human papilloma virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2714T,Human papilloma virus deoxyribonucleic acid (DNA) by nucleic acid amplification test (NAAT),34.4.0,,,True,
2720B,Hyaluronic acid level,34.1.1,,,True,
2724O,Hydrogen breath test,34.1.1,,,False,
2755B,1-methylhistidine level,34.1.1,,,True,
2755U,1-methylhistidine level,34.1.1,,,True,
2756B,"2,3-diphosphoglycerate level",34.1.1,,,True,
2757B,25-hydroxy vitamin D3 level,34.1.1,,,True,
2757D,25-hydroxy vitamin D3 level,34.1.1,,,True,
2759B,2-aminobutyrate level,34.1.1,,,True,
2759U,2-aminobutyrate level,34.1.1,,,True,
2761B,32-33 split proinsulin level,34.1.1,,,True,
2762B,3-aminobutyrate level,34.1.1,,,True,
2762U,3-aminobutyrate level,34.1.1,,,True,
2770B,Complement 3 nephritic factor,34.3.0,,,True,
2780B,Carbohydrate antigen 72-4 level,34.1.1,,,True,
2781B,Carbohydrate antigen 125 level,34.1.1,,,True,
2781C,Carbohydrate antigen 125 level,34.1.1,,,True,
2781O,Carbohydrate antigen 125 level,34.1.1,,,True,
2784B,Carbohydrate antigen 19-9 level,34.1.1,,,True,
